HMC3,Phagocytosis,Data,*Suggested Calculation:,,(Avg_treatment/Avg_no_treat)x100
,,,,,
Treatment,Set,Raw Recorded Fluorescence,Protein_ug_mL,,
no_treat,1,3962.333333,2.068447412,,
no_treat,1,2505.333333,1.826377295,,
no_treat,1,2443.333333,2.168614357,,
Chol,1,2014.333333,2.252086811,,
Chol,1,1111.333333,2.252086811,,
Chol,1,886.3333333,2.176961603,,
AbO,1,612.3333333,2.335559265,,
AbO,1,182.3333333,2.32721202,,
AbO,1,393.3333333,2.310517529,,
Chol_AbO,1,2072.333333,2.786310518,,
Chol_AbO,1,1445.333333,2.494156928,,
Chol_AbO,1,1315.333333,2.335559265,,
Chol_LPS,1,5595.333333,3.053422371,,
Chol_LPS,1,1597.333333,3.011686144,,
Chol_LPS,1,721.3333333,2.377295492,,
AbO_LPS,1,1754.333333,2.051752922,,
AbO_LPS,1,2034.333333,2.21869783,,
AbO_LPS,1,2650.333333,2.026711185,,
LPS,1,2106.333333,2.060100167,,
LPS,1,2399.333333,2.101836394,,
LPS,1,2293.333333,1.834724541,,
Chol_AbO_LPS,1,2992.333333,2.803005008,,
Chol_AbO_LPS,1,2529.333333,2.786310518,,
Chol_AbO_LPS,1,1205.333333,2.393989983,,
Fru,1,2600.333333,2.585976628,,
Fru,1,3811.333333,1.968280467,,
Fru,1,1398.333333,2.010016694,,
Chol_Fru,1,3563.333333,3.295492487,,
Chol_Fru,1,6006.333333,3.170283806,,
Chol_Fru,1,1150.333333,2.594323873,,
Fru_LPS,1,1536.333333,3.203672788,,
Fru_LPS,1,4150.333333,2.118530885,,
Fru_LPS,1,2419.333333,2.210350584,,
AbO_Fru,1,270.3333333,4.25542571,,
AbO_Fru,1,3907.333333,2.786310518,,
AbO_Fru,1,485.3333333,3.120200334,,
AbO_Fru_Chol_LPS,1,1161.333333,2.360601002,,
AbO_Fru_Chol_LPS,1,1910.333333,1.868113523,,
AbO_Fru_Chol_LPS,1,1743.333333,2.452420701,,
no_treat,2,10550.33333,1.358454106,,
no_treat,2,4942.666667,1.887922705,,
no_treat,2,10218.66667,1.358454106,,
Chol,2,3513.333333,0.962318841,,
Chol,2,4473.666667,1.28115942,,
Chol,2,3489.666667,0.962318841,,
AbO,2,1429.333333,2.430917874,,
AbO,2,1936.666667,1.976811594,,
AbO,2,1465.666667,2.430917874,,
Chol_AbO,2,3955.333333,2.662801932,,
Chol_AbO,2,3561.666667,2.102415459,,
Chol_AbO,2,3903.666667,2.662801932,,
Chol_LPS,2,10603.33333,2.82705314,,
Chol_LPS,2,6741.666667,1.397101449,,
Chol_LPS,2,10342.66667,2.82705314,,
AbO_LPS,2,916.3333333,2.063768116,,
AbO_LPS,2,1065.666667,1.909178744,,
AbO_LPS,2,982.6666667,2.063768116,,
LPS,2,2810.333333,2.537198068,,
LPS,2,4438.666667,0.131400966,,
LPS,2,2856.666667,2.537198068,,
Chol_AbO_LPS,2,5167.333333,2.624154589,,
Chol_AbO_LPS,2,2500.666667,2.073429952,,
Chol_AbO_LPS,2,5025.666667,2.624154589,,
Fru,2,3844.333333,2.546859903,,
Fru,2,4429.666667,0.728502415,,
Fru,2,3770.666667,2.546859903,,
Chol_Fru,2,6567.333333,3.020289855,,
Chol_Fru,2,3138.666667,0.769082126,,
Chol_Fru,2,6396.666667,3.020289855,,
