Treatment,Set,"Recorded Fluorescence (Log,2)",Protein_ug_mL
no_treat,1,13.65910396,3.218641561
no_treat,1,14.99430924,3.228641503
no_treat,1,14.86389587,3.803746564
Chol,1,9.846969454,2.902384259
Chol,1,11.72020102,2.130794439
Chol,1,12.71433768,3.026527202
AbO,1,9.788228749,3.014614123
AbO,1,11.35310525,3.261162176
AbO,1,12.63818963,2.998976718
Chol_AbO,1,9.745187295,3.068886722
Chol_AbO,1,11.23770724,3.021957327
Chol_AbO,1,12.36789488,2.702955324
Chol_LPS,1,9.564429616,3.777049918
Chol_LPS,1,10.39780119,4.354751322
Chol_LPS,1,11.67425754,3.493734783
AbO_LPS,1,9.314966049,3.590601261
AbO_LPS,1,9.95842868,3.654634366
AbO_LPS,1,11.01628236,3.103993029
LPS,1,8.988306584,3.280504909
LPS,1,9.372216075,3.331370857
LPS,1,10.13933018,3.74232166
Chol_AbO_LPS,1,9.207870657,2.725671888
Chol_AbO_LPS,1,9.535505756,2.936533759
Chol_AbO_LPS,1,10.12941958,3.399084002
Fru,1,8.895497424,3.217349424
Fru,1,9.416259971,3.021821053
Fru,1,9.810662319,1.704507311
Chol_Fru,1,9.251112501,4.765608818
Chol_Fru,1,9.456311488,5.687805453
Chol_Fru,1,9.694354263,7.48391915
Fru_LPS,1,9.136505524,8.842709214
Fru_LPS,1,9.338815351,6.064903121
Fru_LPS,1,9.530000561,10.03431697
AbO_Fru,1,8.703687481,7.04040609
AbO_Fru,1,9.710469927,8.902689398
AbO_Fru,1,9.790813519,10.21896906
AbO_Fru_Chol_LPS,1,13.08961834,5.002045
AbO_Fru_Chol_LPS,1,13.03578917,9.999334311
AbO_Fru_Chol_LPS,1,13.01981933,6.007585097
no_treat,2,12.7544004,2.167008197
no_treat,2,12.81691698,3.867827869
no_treat,2,12.79576911,2.044057377
Chol,2,13.04570279,1.910860656
Chol,2,13.32328937,2.966188525
Chol,2,14.20010676,2.136270492
AbO,2,13.2320711,4.216188525
AbO,2,13.46998092,4.400614754
AbO,2,14.41769871,3.570696721
Chol_AbO,2,13.21229372,2.423155738
Chol_AbO,2,13.39548951,3.826844262
Chol_AbO,2,14.20996098,3.49897541
Chol_LPS,2,12.71931751,0.394467213
Chol_LPS,2,12.86082834,4.103483607
Chol_LPS,2,13.64314218,3.796106557
AbO_LPS,2,13.12342091,4.851434426
AbO_LPS,2,13.2599884,4.021516393
AbO_LPS,2,13.70764672,3.37602459
LPS,2,12.62426238,3.919057377
LPS,2,12.83440521,4.24692623
LPS,2,13.1854433,3.908811475
Chol_AbO_LPS,2,12.85985828,1.910860656
Chol_AbO_LPS,2,13.16814976,4.513319672
Chol_AbO_LPS,2,13.3482671,3.857581967
Fru,2,11.56637122,5.855532787
Fru,2,11.99175802,3.539959016
Fru,2,12.1928065,8.324795082
Chol_Fru,2,11.68460253,8.212090164
Chol_Fru,2,12.02813629,1.12192623
Chol_Fru,2,12.20569145,4.308401639
Fru_LPS,2,11.62509998,9.861680328
Fru_LPS,2,12.02882696,0.640368852
Fru_LPS,2,12.19095637,2.802254098
AbO_Fru,2,13.34799039,10.47643443
AbO_Fru,2,13.49068377,4.103483607
AbO_Fru,2,13.57549985,6.757172131
AbO_Fru_Chol_LPS,2,15.82887199,5.302945302
AbO_Fru_Chol_LPS,2,15.99476591,4.966339411
AbO_Fru_Chol_LPS,2,15.79729844,8.991584853
no_treat,3,12.77841941,2.228611501
no_treat,3,12.77924057,2.228611501
no_treat,3,12.71567605,2.803646564
Chol,3,12.98453714,2.102384292
Chol,3,13.07492193,0.110799439
Chol,3,13.46194833,3.126227209
AbO,3,12.99976517,3.084151473
AbO,3,13.30101979,2.551192146
AbO,3,13.67459688,3.098176718
Chol_AbO,3,12.94025241,3.546984572
Chol_AbO,3,13.2159374,3.532959327
Chol_AbO,3,13.52780278,3.532959327
Chol_LPS,3,12.88334334,3.561009818
Chol_LPS,3,12.96896672,3.364656381
Chol_LPS,3,13.19962123,3.434782609
AbO_LPS,3,12.9646417,3.378681627
AbO_LPS,3,13.10372492,3.350631136
AbO_LPS,3,13.39990095,2.943899018
LPS,3,11.63420602,3.280504909
LPS,3,11.82323454,2.761570827
LPS,3,12.12788688,2.649368864
Chol_AbO_LPS,3,12.70231701,4.206171108
Chol_AbO_LPS,3,13.17362509,3.757363254
Chol_AbO_LPS,3,13.19239557,3.771388499
Fru,3,12.09858045,1.527349229
Fru,3,12.74181807,2.511921459
Fru,3,12.8137144,0.503506311
Chol_Fru,3,11.84810126,1.162692847
Chol_Fru,3,12.74076457,0.225806452
Chol_Fru,3,12.77018209,0.380084151
Fru_LPS,3,12.58229882,0.043478261
Fru_LPS,3,12.67279363,1.76858345
Fru_LPS,3,12.72145526,0.239831697
AbO_Fru,3,12.94812384,3.942496494
AbO_Fru,3,13.22108358,8.851332398
AbO_Fru,3,13.21183761,5.260869565
AbO_Fru_Chol_LPS,3,14.80602929,5.302945302
AbO_Fru_Chol_LPS,3,15.24412842,4.966339411
AbO_Fru_Chol_LPS,3,15.36955191,8.991584853
