treatment,whole_cell_free_chol,total_chol_w_chol_ester,protein_ug_ml
no_treat,61646,17068,51.29577465
no_treat,37001,17884,48.90140845
AbO_Chol,63007.5,33139,52.42253521
Chol,74731,32303,49.74647887
Chol,78323,29034,71.71830986
AbO_Chol,61120.73529,32597,55.66197183
Chol_LPS,100701,39588,41.57746479
Chol_LPS,77419,32198,45.66197183
AbO_LPS,81677,39311,77.77464789
AbO,78239,38538,54.95774648
AbO,78012,35950,51.85915493
AbO_LPS,81219,36425,101.1549296
LPS,61149,31071,28.61971831
LPS,67762,36918,36.64788732
Fru,125480,65223,48.47887324
AbO_Chol_LPS,113760,58509,128.056338
AbO_Chol_LPS,114476,43832,67.77464789
Fru,108662,47879,137.4929577
Fru_Chol,105642,41633,34.25352113
Fru_Chol,133465,43114,49.04225352
Fru_LPS,99577,49172,42.70422535
AbO_Fru,98744,53954,67.91549296
AbO_Fru,95083,58708,84.81690141
Fru_LPS,106527,60350,79.6056338
Ab_F_C_LPS,107594,60858,33.4084507
Ab_F_C_LPS,103943,64545,63.12676056
